ogr_no,turkce_1,matematik_1,fen_1,sosyal_1,turkce_7,matematik_7,fen_7,sosyal_7,turkce_15,matematik_15,fen_15,sosyal_15,turkce_18,matematik_18,fen_18,sosyal_18,turkce_21,matematik_21,fen_21,sosyal_21,toplam_1,toplam_7,toplam_15,toplam_18,toplam_21
48,25.5,12.5,6.5,9.75,29.5,28.75,15.75,14.25,26.5,25.0,11.5,8.75,34.25,18.0,13.25,15.0,33.25,25.75,9.75,10.5,54.25,88.25,71.75,80.5,79.25
34,29.5,4.5,8.0,11.75,30.0,14.25,8.75,7.0,29.3125,9.125,5.875,10.125,32.75,5.5,3.5,13.0,25.0,12.25,3.25,8.75,53.75,60.0,54.4375,54.75,49.25
13,24.5,14.5,5.0,9.25,29.0,23.75,1.0,12.5,26.9375,19.9375,4.625,12.0625,23.25,16.5,9.75,13.75,31.0,25.0,2.75,12.75,53.25,66.25,63.5625,63.25,71.5
22,24.75,9.5,11.75,6.75,30.75,20.5,12.5,14.0,13.25,20.25,10.25,11.75,32.0,20.5,15.25,14.0,28.75,19.0,8.0,14.25,52.75,77.75,55.5,81.75,70.0
76,25.75,4.5,9.25,13.25,27.75,20.75,14.5,12.0,28.0,22.5,13.75,10.0,21.75,15.25,14.0,11.25,35.25,19.75,10.0,6.75,52.75,75.0,74.25,62.25,71.75
30,25.0,8.75,3.75,15.0,26.25,15.75,7.125,15.125,27.5,22.75,10.5,15.25,26.25,15.75,7.125,15.125,26.25,15.75,7.125,15.125,52.5,64.25,76.0,64.25,64.25
194,26.25,11.75,5.75,8.75,34.5,21.5,4.5,11.5,30.375,16.625,5.125,10.125,30.375,16.625,5.125,10.125,30.375,16.625,5.125,10.125,52.5,72.0,62.25,62.25,62.25
54,26.5,10.25,5.5,10.0,26.5,10.25,5.5,10.0,26.5,10.25,5.5,10.0,26.5,10.25,5.5,10.0,26.5,10.25,5.5,10.0,52.25,52.25,52.25,52.25,52.25
7,22.0,10.5,0.75,18.0,25.25,22.75,10.5,17.5,15.75,11.083333333333334,6.583333333333333,13.0,0.0,0.0,8.5,3.5,15.75,11.083333333333334,6.583333333333333,13.0,51.25,76.0,46.41666666666667,12.0,46.41666666666667
98,30.0,7.25,3.75,9.5,30.5,13.25,5.75,9.5,16.75,0.0,0.0,9.0,26.25,8.5,5.0,14.0,25.875,7.25,3.625,10.5,50.5,59.0,25.75,53.75,47.25
43,24.0,6.5,10.25,8.75,24.0,24.5,15.0,11.5,28.625,15.5,11.1875,10.5625,32.5,9.25,12.75,12.0,34.0,21.75,6.75,10.0,49.5,75.0,65.875,66.5,72.5
38,25.75,10.5,4.25,9.0,29.4375,18.8125,8.0625,11.5,26.75,21.5,11.0,7.5,30.25,21.25,9.75,16.25,35.0,22.0,7.25,13.25,49.5,67.8125,66.75,77.5,77.5
27,28.75,8.0,2.75,9.75,33.75,21.5,4.75,16.75,30.125,16.6875,5.0625,12.9375,29.0,13.5,8.5,14.5,29.0,23.75,4.25,10.75,49.25,76.75,64.8125,65.5,67.75
41,27.75,10.0,2.0,9.0,29.0,20.5,15.25,14.25,31.5,21.25,11.75,7.5,32.75,17.25,11.75,12.75,34.5,17.5,8.0,10.75,48.75,79.0,72.0,74.5,70.75
67,26.25,7.5,4.0,10.75,30.75,25.75,7.75,15.0,30.416666666666668,18.25,4.75,12.75,30.416666666666668,18.25,4.75,12.75,34.25,21.5,2.5,12.5,48.5,79.25,66.16666666666667,66.16666666666667,70.75
81,23.0,11.5,-0.75,14.0,26.25,22.25,5.75,11.5,16.25,15.75,12.5,12.5,30.0,16.0,11.25,12.75,23.875,16.375,7.1875,12.6875,47.75,65.75,57.0,70.0,60.125
